date,sitrep_number,confirmed_cases_cumulative,confirmed_deaths_cumulative,new_confirmed_cases_reported,daily_deaths_reported,source_url,source_data_as_of_date,curation_date,notes
2026-07-10,57,1873,672,43,,https://insp.cd/sitrep-n057-mvb_10-07-2026/,2026-07-10,2026-07-14,"Daily deaths are blank because the SitRep does not state a directly comparable metric."
2026-07-11,58,1926,702,53,,https://insp.cd/sitrep-n058-mvb_11-07-2026/,2026-07-11,2026-07-14,"Daily deaths are blank because the SitRep contains internally inconsistent daily-death figures."
2026-07-13,60,2011,754,54,,https://insp.cd/sitrep-n060-mvb-13-07-2026/,2026-07-13,2026-07-17,"Daily deaths are blank because the reported death construction is not directly comparable with this series; the SitRep also contains a visibly misaligned continuation row in Table 2."
2026-07-14,61,2073,796,62,42,https://insp.cd/sitrep-n061-mvb_14-07-2026/,2026-07-14,2026-07-17,"The SitRep directly reports 62 newly confirmed cases and 42 confirmed deaths, split into 27 community deaths and 15 deaths in treatment centres."
2026-07-15,62,2124,828,51,32,https://insp.cd/sitrep-n062-mvb_15-07-2026/,2026-07-15,2026-07-20,"The SitRep directly reports 51 newly confirmed cases and 32 confirmed deaths; one note contains an arithmetic typo, while the heading, prose and cumulative total support 32."
2026-07-17,64,2267,893,86,29,https://insp.cd/sitrep-n064-mvb_17-07-2026/,2026-07-17,2026-07-20,"The heading, prose and provincial sum directly support 86 newly confirmed cases and 29 deaths; the total row of Table 2 mistakenly prints 56 new cases."
2026-07-18,65,2344,930,83,40,https://insp.cd/sitrep-n065-mvb_18-07-2026/,2026-07-18,2026-07-20,"The SitRep directly reports 83 newly confirmed cases and 40 confirmed deaths; the report notes data harmonisation between Haut-Uele and Nia-Nia in Ituri."
2026-07-19,66,2423,967,79,37,https://insp.cd/sitrep-n066-mvb_19-07-2026/,2026-07-19,2026-07-22,"The SitRep directly reports 79 newly confirmed cases and 37 confirmed deaths; Adja in Ituri is newly affected. Page 8 contains a narrative typo for the Ituri isolation subtotal, while the heading, table and arithmetic support the overall total of 734."
2026-07-20,67,2473,999,50,32,https://insp.cd/sitrep-n067-mvb_20-07-2026/,2026-07-20,2026-07-23,"The SitRep directly reports 50 newly confirmed cases (42 in Ituri and 8 in North Kivu), 32 confirmed deaths (27 in Ituri and 5 in North Kivu) and no newly affected health zone."
2026-07-21,68,2536,1033,63,34,https://insp.cd/wp-content/uploads/2026/07/SitRep_MVE_RDC_N%C2%B0_68_21-07-2026.pdf,2026-07-21,2026-07-24,"The cover, Table 2, WHO cross-check and provincial sum support 2,536 confirmed cases. Table 1's total row mistakenly says 2,531 and the following prose mistakenly says 2,228 rather than 2,248 for Ituri. The SitRep directly reports 63 newly confirmed cases and 34 deaths."
2026-07-22,69,2905,1269,,,https://insp.cd/sitrep-n069-mvb_22-07-2026/,2026-07-22,2026-07-27,"Cumulative totals cross-checked against ECDC. Daily values remain blank because ECDC's overall new-case figure and provincial split are internally inconsistent, and cumulative differences are not treated as daily incidence."
2026-07-23,70,2973,1309,,,https://insp.cd/sitrep-n070-mvb_23-07-2026/,2026-07-23,2026-07-27,"Cumulative totals cross-checked against government figures reported by multiple independent wire services. Daily values remain blank because direct internally consistent daily metrics were not available during the review."
2026-07-24,71,3075,1354,,,https://insp.cd/sitrep-n071-mvb_24-07-2026/,2026-07-24,2026-07-27,"Cumulative totals cross-checked against WHO daily update 20260726; provincial totals sum to 3,075 cases and 1,354 deaths. Daily values remain blank because the increase includes data harmonisation and retrospective processing."
